GASVISION_FILEVERSION;4;7.0.1;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEforMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEforMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Online;1;11.07.2017;11:48:37;13.07.2017;20:52:36;Polytron;7000;ARYE0794;8.0;;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:35:35;42,3;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:36:35;46,86;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:37:35;55,46;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:38:35;57,93;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:39:35;57;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:40:35;55,16;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:41:35;52,73;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:42:35;48,47;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:43:35;47,82;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:44:35;55,15;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:45:35;57,98;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:46:35;57,45;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:47:35;55,3;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:48:35;52,78;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:49:35;49,47;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:50:35;46,35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:51:35;41,38;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:52:35;42,18;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:53:35;49,84;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:54:35;50,76;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:55:35;49,1;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:56:35;46,58;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:57:35;43,42;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:58:35;39,26;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;12:59:35;43,45;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;13:00:35;48,91;;;;;;;;;;;;;;;;;;
