GASVISION_FILEVERSION;4;apr.50;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEFORMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEFORMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Avg.;60;03.10.2018;10:53:24;03.10.2018;18:56:51;Polytron;7000;ARBC0143;8.0;0;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:45:24;30,04;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:46:24;29,4;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:47:24;28,7;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:48:24;28,13;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:49:24;27,47;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:50:24;26,87;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:51:24;26,27;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:52:24;25,65;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:53:24;25,08;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:54:24;24,6;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:55:24;24,05;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:56:24;23,58;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:57:24;23,08;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:58:24;22,68;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:59:24;22,31;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:00:24;21,91;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:01:24;21,58;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:02:24;21,25;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:03:24;20,89;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:04:24;20,58;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:05:24;20,29;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:06:24;19,97;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;12:07:24;19,73;;;;;;;;;;;;;;;;;;
